GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
gestrest-pagamento-service,br.com.gestrest.pagamento.service.adapters.out.persistence,UserDetailsImpl,18,33,1,3,8,10,8,4,7,3
gestrest-pagamento-service,br.com.gestrest.pagamento.service.adapters.out.persistence,JwtTokenProviderAdapter,53,0,2,0,14,0,7,0,6,0
gestrest-pagamento-service,br.com.gestrest.pagamento.service.adapters.out.persistence,PagamentoRepositoryAdapter,28,0,0,0,4,0,2,0,2,0
gestrest-pagamento-service,br.com.gestrest.pagamento.service.adapters.out.persistence.mapper,PagamentoPersistenceMapper,53,0,0,0,18,0,3,0,3,0
gestrest-pagamento-service,br.com.gestrest.pagamento.service.adapters.in.event,PedidoEventConsumer,7,22,0,0,1,8,0,2,0,2
gestrest-pagamento-service,br.com.gestrest.pagamento.service.adapters.in.web.exception,GlobalExceptionHandler,82,0,4,0,15,0,7,0,5,0
gestrest-pagamento-service,br.com.gestrest.pagamento.service.domain.model.event,PedidoCriadoEvent,0,18,0,0,0,1,0,1,0,1
gestrest-pagamento-service,br.com.gestrest.pagamento.service.domain.model.event,PagamentoAprovadoEvent,0,12,0,0,0,1,0,1,0,1
gestrest-pagamento-service,br.com.gestrest.pagamento.service.domain.model.event,PagamentoPendenteEvent,0,12,0,0,0,1,0,1,0,1
gestrest-pagamento-service,br.com.gestrest.pagamento.service.domain.model.event,PagamentoReprocessadoEvent,15,0,0,0,1,0,1,0,1,0
gestrest-pagamento-service,br.com.gestrest.pagamento.service.domain.model.event,PedidoCanceladoEvent,15,0,0,0,1,0,1,0,1,0
gestrest-pagamento-service,br.com.gestrest.pagamento.service.adapters.in.web.controller,PagamentoController,30,0,0,0,4,0,2,0,2,0
gestrest-pagamento-service,br.com.gestrest.pagamento.service.application.usecase.command.pagamento,ProcessarPagamentoCommand,0,12,0,0,0,1,0,1,0,1
gestrest-pagamento-service,br.com.gestrest.pagamento.service.application.usecase.impl.pagamento,BuscarPagamentoPorIdUseCaseImpl,20,0,0,0,4,0,3,0,3,0
gestrest-pagamento-service,br.com.gestrest.pagamento.service.application.usecase.impl.pagamento,ProcessarPagamentoUseCaseImpl,62,167,2,4,18,38,3,4,1,3
gestrest-pagamento-service,br.com.gestrest.pagamento.service.infrastructure.config,KafkaConfig,3,0,0,0,1,0,1,0,1,0
gestrest-pagamento-service,br.com.gestrest.pagamento.service.infrastructure.config,MapperConfig,7,0,0,0,2,0,2,0,2,0
gestrest-pagamento-service,br.com.gestrest.pagamento.service.infrastructure.config,SecurityConfig,49,0,0,0,8,0,4,0,4,0
gestrest-pagamento-service,br.com.gestrest.pagamento.service.infrastructure.config,UseCaseConfig,22,0,0,0,4,0,4,0,4,0
gestrest-pagamento-service,br.com.gestrest.pagamento.service.adapters.in.web.dto.response,PagamentoResponse,21,0,0,0,1,0,1,0,1,0
gestrest-pagamento-service,br.com.gestrest.pagamento.service.adapters.in.web.dto.request,ProcessarPagamentoRequest,12,0,0,0,1,0,1,0,1,0
gestrest-pagamento-service,br.com.gestrest.pagamento.service.adapters.out.persistence.entity,PagamentoEntity,14,0,0,0,6,0,3,0,3,0
gestrest-pagamento-service,br.com.gestrest.pagamento.service.adapters.in.web.mapper,ConsultarPagamentoWebMapper,19,0,0,0,8,0,2,0,2,0
gestrest-pagamento-service,br.com.gestrest.pagamento.service.domain.model,Pagamento,0,104,1,7,0,24,1,16,0,13
gestrest-pagamento-service,br.com.gestrest.pagamento.service.domain.model,PagamentoStatusEnum,0,24,0,0,0,3,0,1,0,1
gestrest-pagamento-service,br.com.gestrest.pagamento.service.infrastructure,GestrestPagamentoServiceApplication,8,0,0,0,3,0,2,0,2,0
gestrest-pagamento-service,br.com.gestrest.pagamento.service.domain.exception,PagamentoNaoEncontradoException,6,0,0,0,2,0,1,0,1,0
gestrest-pagamento-service,br.com.gestrest.pagamento.service.adapters.out.integration,PagamentoGatewayMockAdapter,36,0,6,0,7,0,5,0,2,0
gestrest-pagamento-service,br.com.gestrest.pagamento.service.adapters.out.integration,PaymentGatewayAdapter,46,191,6,4,13,34,7,8,2,8
gestrest-pagamento-service,br.com.gestrest.pagamento.service.adapters.out.integration,PoliticaResilienciaPagamento,13,0,0,0,5,0,3,0,3,0
gestrest-pagamento-service,br.com.gestrest.pagamento.service.adapters.out.event,KafkaEventPublisherAdapter,107,0,0,0,25,0,4,0,4,0
gestrest-pagamento-service,br.com.gestrest.pagamento.service.domain.model.ports.out,PagamentoGatewayResponse,0,9,0,0,0,1,0,1,0,1
gestrest-pagamento-service,br.com.gestrest.pagamento.service.adapters.in.web.filter,JwtAuthenticationFilter,65,0,8,0,14,0,6,0,2,0
